Donverel Liaydark
Mervalor Faestina
Lanlinar Aethyra
Chrisqarim Roxina
Hanphon Magkalyn
Emreth Adgella
Jererath Jocyne
Reyrune Naesys
Terdeyr Ralogeiros
Teodnor Raloyarus
Geofyeras Arakalyn
Engstaer Miracaryn
Jacdil Orira
Donlaeron Genpetor
Terril Fensys
Auddyr Naeric
Gabavor Torlar
Zyllando Ianphine
Godbane Norvalur
Wimverel Dorjor
Aubtihne Shaberos
Lilwalyn Yelphine
Maudsynora Nortoris
Nerilone Ravakalyn
Mathlartha Yelqirelle
Lesluna Yincaryn
Aallanis Pamoira
Mylbrae Yesbalar
Syllaena Jolynn
Resriani Leosalor
Cristarzah Umecaryn
Yescerys Ianzana
Holaema Sylzumin
Yesrelle Genphyra
Zinrona Wysamys
Hahana Orirora
Athseris Zinwynn
Gresralla Wysamyar
Gabkaen Glynrel
Mathsaria Engolor
